		210																	
																			
		659																	
																			
																			
		21	23	*															
		1	13	23	*														
		2	4	*															
		14	15	*															
		4	6	15	*														
		5	7	16	*														
		6	*																
		7	9	17	*														
		18	*																
		9	11	*															
		10	12	20	*														
		20	33	*															
		2	3	24	25	*													
		15	25	*															
		5	14	26	27	*													
		6	15	27	*														
		18	29	*															
		8	9	19	30	31	*												
		10	31	*															
		10	31	32	33	*													
		1	22	*															
		21	23	34	*														
		1	22	24	34	35	46	*											
		23	*																
		13	14	24	26	35	36	37	*										
		25	37	*															
		15	16	26	28	38	39	*											
		7	39	*															
		17	28	30	40	*													
		18	31	*															
		18	19	20	30	32	42	51	*										
		31	*																
		12	20	32	42	43	*												
		22	44	45	*														
		23	46	47	*														
		25	37	*															
		25	26	38	48	49	*												
		27	39	49	*														
		27	28	40	*														
		29	39	51	*														
		31	53	*															
		31	32	41	43	53	54	55	*										
		33	42	*															
		21	66	*															
		44	46	56	*														
		45	47	57	58	*													
		35	36	46	59	*													
		47	*																
		38	48	50	61	62	*												
		39	49	*															
		31	39	40	50	*													
		51	*																
		41	42	52	54	63	*												
		55	*																
		42	43	*															
		45	46	66	67	*													
		58	*																
		57	70	*															
		47	58	60	70	*													
		48	59	71	*														
		49	60	*															
		49	50	73	74	*													
		52	74	75	*														
		53	65	76	*														
		55	64	78	*														
		44	56	67	80	*													
		56	66	68	80	*													
		57	67	69	80	*													
		68	70	82	*														
		58	71	83	*														
		72	*																
		61	71	73	94	*													
		62	72	74	95	*													
		51	62	75	84	*													
		63	74	85	*														
		75	77	87	*														
		78	87	*															
		65	87	*															
		66	80	89	*														
		68	79	81	89	90	91	*											
		68	80	82	91	*													
		69	83	92	*														
		70	82	93	*														
		74	85	96	*														
		75	84	*															
		76	85	87	98	*													
		78	88	98	99	*													
		78	87	100	*														
		79	90	101	*														
		80	91	*															
		80	81	90	92	102	*												
		82	91	93	*														
		83	92	94	109	*													
		70	72	93	95	103	110	*											
		73	96	103	*														
		84	95	97	103	104	112	*											
		85	96	98	*														
		86	87	97	99	104	105	114	*										
		98	*																
		87	88	99	105	115	*												
		89	102	*															
		108	*																
		94	95	110	111	112	*												
		96	98	112	114	*													
		114	*																
		101	107	*															
		122	*																
		107	109	*															
		94	108	110	125	*													
		94	109	116	*														
		103	110	*															
		103	111	113	118	*													
		112	114	119	*														
		98	104	105	113	115	119	120	131										*
		100	105	131	*														
		110	117	126	*														
		112	116	126	*														
		117	*																
		113	118	120	128	129	*												
		114	119	130	*														
		106	133	*															
		107	121	123	*														
		108	109	122	124	133	134	135	*										
		125	135	*															
		124	126	137	*														
		117	125	127	138	*													
		126	128	*															
		118	119	127	129	139	147	*											
		130	148	*															
		120	129	149	151	*													
		114	115	130	151	*													
		121	133	*															
		123	132	140	*														
		123	133	135	141	*													
		123	124	142	143	*													
		125	135	137	143	*													
		138	145	*															
		126	137	145	*														
		126	127	128	146	147	*												
		132	141	152	*														
		133	134	140	142	153	*												
		135	143	*															
		135	136	142	144	154	155	*											
		143	145	155	*														
		137	138	139	144	146	156	*											
		139	147	*															
		128	139	146	148	*													
		129	147	149	157	*													
		130	148	150	157	*													
		159	*																
		131	150	160	*														
		153	161	*															
		141	154	162	*														
		155	163	*															
		143	144	154	164	*													
		145	155	165	*														
		148	168	*															
		149	169	*															
		158	160	170	*														
		151	*																
		162	180	*															
		153	163	172	182	*													
		154	162	164	172	183	*												
		155	163	165	*														
		155	166	173	174	*													
		167	174	*															
		147	157	168	174	175	*												
		157	167	169	*														
		170	178	*															
		159	169	171	178	*													
		160	170	179	*														
		162	182	183	*														
		163	165	185	*														
		165	167	185	186	187	*												
		167	176	*															
		169	175	177	187	*													
		169	178	*															
		169	177	189	190	*													
		178	190	*															
		181	191	*															
		182	192	*															
		162	172	183	193	*													
		173	182	*															
		183	185	*															
		165	173	195	*														
		185	187	*															
		174	175	176	188	197	198	*											
		177	199	200	*														
		178	188	200	*														
		178	189	210	*														
		192	201	*															
		181	193	202	*														
		192	194	203	*														
		183	193	204	*														
		183	184	194	196	204	205	206	*										
		185	195	197	206	*													
		198	206	*															
		197	199	207	*														
		198	208	*															
		188	189	209	*														
		191	202	*															
		201	203	*															
		193	202	204	*														
		195	203	205	*														
		206	*																
		196	207	*															
		206	208	*															
		199	209	*															
		200	208	*															
		200	209	*															
																			
																			
	1						202.28												
	1						296.36												
	2						205.24												
	2						132.29												
	2						198.66												
	3						115.42												
	3						90.35												
	4						108.24												
	4						151.41												
	5						122.50												
	5						94.74												
	5						102.08												
	6						94.74												
	6						116.85												
	6						102.19												
	7						116.85												
	8						103.51												
	8						106.30												
	8						106.93												
	9						130.84												
	10						97.43												
	10						120.79												
	11						120.79												
	11						101.07												
	11						92.61												
	12						133.91												
	12						194.01												
	13						132.29												
	13						108.25												
	13						101.07												
	13						132.74												
	14						106.12												
	14						87.20												
	15						102.08												
	15						106.12												
	15						107.06												
	15						142.13												
	16						102.19												
	16						89.27												
	16						111.76												
	17						101.79												
	17						108.15												
	18						144.37												
	18						130.84												
	18						112.31												
	18						89.98												
	18						136.56												
	19						75.28												
	19						106.07												
	20						142.07												
	20						151.35												
	20						120.00												
	20						144.45												
	21						202.28												
	21						105.23												
	22						105.23												
	22						106.18												
	22						90.09												
	23						296.36												
	23						106.18												
	23						109.98												
	23						131.55												
	23						154.46												
	23						228.96												
	24						109.98												
	25						132.74												
	25						87.20												
	25						86.35												
	25						123.84												
	25						147.95												
	25						134.10												
	25						157.44												
	26						123.84												
	26						86.38												
	27						142.13												
	27						111.76												
	27						103.51												
	27						112.54												
	27						121.54												
	27						149.93												
	28						199.12												
	28						107.11												
	29						108.15												
	29						94.89												
	29						96.02												
	29						109.61												
	30						89.98												
	30						115.62												
	31						136.56												
	31						106.07												
	31						151.35												
	31						115.62												
	31						106.55												
